SID,Collection_Date,Taxon_name,RelAbund
14392,4/21/16,ACsubkra,2.82E-02
14392,4/21/16,AHminuti,1.66E-02
14392,4/21/16,Ahrivula,1.82E-02
14392,4/21/16,CCpedcls,3.32E-03
14392,4/21/16,CEpulch,3.32E-03
14392,4/21/16,Cratsub,9.95E-02
14392,4/21/16,DAvulg,4.98E-03
14392,4/21/16,ECminutu,1.16E-02
14392,4/21/16,ECsilesi,6.63E-03
14392,4/21/16,FRcapgra,4.98E-03
14392,4/21/16,Frcapper,1.16E-02
14392,4/21/16,FRcapuci,3.32E-03
14392,4/21/16,FRmesole,3.32E-03
14392,4/21/16,FRrecapi,1.66E-03
14392,4/21/16,FRvauche,9.95E-03
14392,4/21/16,GOmicrop,1.66E-03
14392,4/21/16,GOparvul,3.32E-03
14392,4/21/16,MDcircul,1.66E-03
14392,4/21/16,MEvarian,3.32E-03
14392,4/21/16,MYpermit,4.98E-02
14392,4/21/16,NAgregar,0.212271973
14392,4/21/16,NAlancel,0.066334992
14392,4/21/16,NArhynch,6.63E-03
14392,4/21/16,NIambigu,3.32E-03
14392,4/21/16,NIamphib,1.66E-03
14392,4/21/16,NIarchib,1.49E-02
14392,4/21/16,NIcapite,3.32E-03
14392,4/21/16,NIfontic,0.021558872
14392,4/21/16,NIpaldeb,1.66E-03
14392,4/21/16,NIpalea,1.49E-02
14392,4/21/16,NIpaleac,1.66E-02
14392,4/21/16,NIpermin,3.32E-03
14392,4/21/16,NIsorate,0.202321725
14392,4/21/16,PTfreq,1.66E-03
14392,4/21/16,PTlanceo,1.82E-02
14392,4/21/16,REsinuta,1.82E-02
14392,4/21/16,ROabbre,2.99E-02
14392,4/21/16,Sellnig,2.65E-02
14392,4/21/16,Sellsaug,4.48E-02
14392,4/21/16,UlnaUlna,4.98E-03
14392,5/20/16,ACsubkra,6.38E-02
14392,5/20/16,AHminuti,0.072013093
14392,5/20/16,Ahrivula,2.29E-02
14392,5/20/16,ALpelluc,1.64E-03
14392,5/20/16,CCpedcls,6.55E-03
14392,5/20/16,CCplalin,3.27E-03
14392,5/20/16,Cratsub,4.75E-02
14392,5/20/16,CYmenegh,1.64E-03
14392,5/20/16,DAvulg,1.80E-02
14392,5/20/16,ECminutu,3.76E-02
14392,5/20/16,ECsilesi,3.44E-02
14392,5/20/16,FRcapgra,2.13E-02
14392,5/20/16,FRcapuci,3.27E-03
14392,5/20/16,FRmesole,2.45E-02
14392,5/20/16,FRtenera,1.64E-03
14392,5/20/16,FRvauche,0.044189853
14392,5/20/16,GOminutm,1.80E-02
14392,5/20/16,GOparvul,1.47E-02
14392,5/20/16,MDcircon,3.27E-03
14392,5/20/16,MDcircul,3.27E-03
14392,5/20/16,MEvarian,8.18E-03
14392,5/20/16,MYpermit,1.15E-02
14392,5/20/16,NAcanals,3.27E-03
14392,5/20/16,NAgregar,0.12111293
14392,5/20/16,NAlancel,3.60E-02
14392,5/20/16,NIamphib,3.27E-03
14392,5/20/16,NIarchib,8.18E-03
14392,5/20/16,NIfontic,3.11E-02
14392,5/20/16,NIinterm,1.47E-02
14392,5/20/16,NIlinear,3.27E-03
14392,5/20/16,NIpalea,4.91E-03
14392,5/20/16,NIpaleac,1.47E-02
14392,5/20/16,NIsorate,0.142389525
14392,5/20/16,NUlapid,1.64E-03
14392,5/20/16,PTfreq,1.47E-02
14392,5/20/16,PTlanceo,1.80E-02
14392,5/20/16,REsinuta,1.31E-02
14392,5/20/16,ROabbre,2.95E-02
14392,5/20/16,Sellnig,0.060556465
14392,5/20/16,Sellsaug,6.55E-03
14392,5/20/16,SUampoxy,3.27E-03
14392,5/20/16,UlnaUlna,6.55E-03
14392,6/17/16,ACsubkra,0.138211382
14392,6/17/16,AHminuti,1.95E-02
14392,6/17/16,Ahrivula,5.20E-02
14392,6/17/16,CCplacen,8.13E-03
14392,6/17/16,CCplalin,1.14E-02
14392,6/17/16,Cratsub,0.100813008
14392,6/17/16,ECminutu,1.14E-02
14392,6/17/16,ECsilesi,1.79E-02
14392,6/17/16,FRcapuci,1.63E-03
14392,6/17/16,FRvauche,1.63E-03
14392,6/17/16,GOparvul,1.46E-02
14392,6/17/16,MEvarian,4.88E-03
14392,6/17/16,MYpermit,0.016260163
14392,6/17/16,NAcanals,3.25E-03
14392,6/17/16,NAgregar,1.46E-02
14392,6/17/16,NAlancel,4.88E-03
14392,6/17/16,NIamphib,1.14E-02
14392,6/17/16,NIfontic,8.13E-03
14392,6/17/16,NIlinear,4.88E-03
14392,6/17/16,NIpaldeb,1.63E-03
14392,6/17/16,NIpalea,1.63E-03
14392,6/17/16,NIpaleac,1.63E-03
14392,6/17/16,NIsorate,0.25203252
14392,6/17/16,PIgibba,3.25E-03
14392,6/17/16,PLhuste,1.63E-03
14392,6/17/16,PTfreq,8.13E-03
14392,6/17/16,PTlanceo,3.41E-02
14392,6/17/16,REsinuta,5.69E-02
14392,6/17/16,ROabbre,9.59E-02
14392,6/17/16,Sellnig,6.99E-02
14392,6/17/16,Sellsaug,2.76E-02
14392,7/15/16,ACsubkra,0.204958678
14392,7/15/16,AHminuti,1.65E-02
14392,7/15/16,AHpyrena,3.31E-03
14392,7/15/16,Ahrivula,3.47E-02
14392,7/15/16,AMpedcls,3.31E-03
14392,7/15/16,CCpedcls,6.61E-03
14392,7/15/16,CCplacen,1.82E-02
14392,7/15/16,CCplalin,2.48E-02
14392,7/15/16,CCpselin,4.96E-03
14392,7/15/16,Cratsub,5.12E-02
14392,7/15/16,CYmenegh,1.65E-02
14392,7/15/16,ECsilesi,1.65E-02
14392,7/15/16,FRcapgra,8.26E-03
14392,7/15/16,Frcapper,1.65E-03
14392,7/15/16,FRcapuci,1.65E-03
14392,7/15/16,FRvauche,3.31E-03
14392,7/15/16,GOparvul,2.15E-02
14392,7/15/16,MEvarian,3.31E-03
14392,7/15/16,MYpermit,8.26E-03
14392,7/15/16,NAcryten,1.65E-03
14392,7/15/16,NAgregar,6.61E-03
14392,7/15/16,NAlancel,4.96E-03
14392,7/15/16,NAsubmur,4.96E-03
14392,7/15/16,NIamphib,6.94E-02
14392,7/15/16,NIfontic,3.31E-03
14392,7/15/16,NIinterm,6.61E-03
